customerid,gender,age,annual_income_kdollar,spending_score_1_100,customerid_is_outlier,age_is_outlier,annual_income_kdollar_is_outlier,spending_score_1_100_is_outlier
1,Male,19,15,39,False,False,False,False
2,Male,21,15,81,False,False,False,False
3,Female,20,16,6,False,False,False,False
4,Female,23,16,77,False,False,False,False
5,Female,31,17,40,False,False,False,False
6,Female,22,17,76,False,False,False,False
7,Female,35,18,6,False,False,False,False
8,Female,23,18,94,False,False,False,False
9,Male,64,19,3,False,False,False,False
10,Female,30,19,72,False,False,False,False
11,Male,67,19,14,False,False,False,False
12,Female,35,19,99,False,False,False,False
13,Female,58,20,15,False,False,False,False
14,Female,24,20,77,False,False,False,False
15,Male,37,20,13,False,False,False,False
16,Male,22,20,79,False,False,False,False
17,Female,35,21,35,False,False,False,False
18,Male,20,21,66,False,False,False,False
19,Male,52,23,29,False,False,False,False
20,Female,35,23,98,False,False,False,False
21,Male,35,24,35,False,False,False,False
22,Male,25,24,73,False,False,False,False
23,Female,46,25,5,False,False,False,False
24,Male,31,25,73,False,False,False,False
25,Female,54,28,14,False,False,False,False
26,Male,29,28,82,False,False,False,False
27,Female,45,28,32,False,False,False,False
28,Male,35,28,61,False,False,False,False
29,Female,40,29,31,False,False,False,False
30,Female,23,29,87,False,False,False,False
31,Male,60,30,4,False,False,False,False
32,Female,21,30,73,False,False,False,False
33,Male,53,33,4,False,False,False,False
34,Male,18,33,92,False,False,False,False
35,Female,49,33,14,False,False,False,False
36,Female,21,33,81,False,False,False,False
37,Female,42,34,17,False,False,False,False
38,Female,30,34,73,False,False,False,False
39,Female,36,37,26,False,False,False,False
40,Female,20,37,75,False,False,False,False
41,Female,65,38,35,False,False,False,False
42,Male,24,38,92,False,False,False,False
43,Male,48,39,36,False,False,False,False
44,Female,31,39,61,False,False,False,False
45,Female,49,39,28,False,False,False,False
46,Female,24,39,65,False,False,False,False
47,Female,50,40,55,False,False,False,False
48,Female,27,40,47,False,False,False,False
49,Female,29,40,42,False,False,False,False
50,Female,31,40,42,False,False,False,False
51,Female,49,42,52,False,False,False,False
52,Male,33,42,60,False,False,False,False
53,Female,31,43,54,False,False,False,False
54,Male,59,43,60,False,False,False,False
55,Female,50,43,45,False,False,False,False
56,Male,47,43,41,False,False,False,False
57,Female,51,44,50,False,False,False,False
58,Male,69,44,46,False,False,False,False
59,Female,27,46,51,False,False,False,False
60,Male,53,46,46,False,False,False,False
61,Male,70,46,56,False,False,False,False
62,Male,19,46,55,False,False,False,False
63,Female,67,47,52,False,False,False,False
64,Female,54,47,59,False,False,False,False
65,Male,63,48,51,False,False,False,False
66,Male,18,48,59,False,False,False,False
67,Female,43,48,50,False,False,False,False
68,Female,68,48,48,False,False,False,False
69,Male,19,48,59,False,False,False,False
70,Female,32,48,47,False,False,False,False
71,Male,70,49,55,False,False,False,False
72,Female,47,49,42,False,False,False,False
73,Female,60,50,49,False,False,False,False
74,Female,60,50,56,False,False,False,False
75,Male,59,54,47,False,False,False,False
76,Male,26,54,54,False,False,False,False
77,Female,45,54,53,False,False,False,False
78,Male,40,54,48,False,False,False,False
79,Female,23,54,52,False,False,False,False
80,Female,49,54,42,False,False,False,False
81,Male,57,54,51,False,False,False,False
82,Male,38,54,55,False,False,False,False
83,Male,67,54,41,False,False,False,False
84,Female,46,54,44,False,False,False,False
85,Female,21,54,57,False,False,False,False
86,Male,48,54,46,False,False,False,False
87,Female,55,57,58,False,False,False,False
88,Female,22,57,55,False,False,False,False
89,Female,34,58,60,False,False,False,False
90,Female,50,58,46,False,False,False,False
91,Female,68,59,55,False,False,False,False
92,Male,18,59,41,False,False,False,False
93,Male,48,60,49,False,False,False,False
94,Female,40,60,40,False,False,False,False
95,Female,32,60,42,False,False,False,False
96,Male,24,60,52,False,False,False,False
97,Female,47,60,47,False,False,False,False
98,Female,27,60,50,False,False,False,False
