customerid,gender,age,annual_income_k,spending_score_1_100,customerid_is_outlier,age_is_outlier,annual_income_k_is_outlier,spending_score_1_100_is_outlier
1,Male,19,15,39,False,False,False,False
2,Male,21,15,81,False,False,False,False
3,Female,20,16,6,False,False,False,False
4,Female,23,16,77,False,False,False,False
5,Female,31,17,40,False,False,False,False
6,Female,22,17,76,False,False,False,False
7,Female,35,18,6,False,False,False,False
8,Female,23,18,94,False,False,False,False
9,Male,64,19,3,False,False,False,False
10,Female,30,19,72,False,False,False,False
11,Male,67,19,14,False,False,False,False
12,Female,35,19,99,False,False,False,False
13,Female,58,20,15,False,False,False,False
14,Female,24,20,77,False,False,False,False
15,Male,37,20,13,False,False,False,False
16,Male,22,20,79,False,False,False,False
17,Female,35,21,35,False,False,False,False
18,Male,20,21,66,False,False,False,False
19,Male,52,23,29,False,False,False,False
20,Female,35,23,98,False,False,False,False
